number,priority,module,title,state,root_cause_group,required_action,evidence
826,P1,dns-ipv6,Parallel IPv6 and IPv4 downloading,fixed-verified,async-dns-family-completion,no-further-action,"Fixed by waiting for all resolver families when only AAAA has succeeded and A is still pending or failed, while preserving the IPv4 success fast path. Evidence: src/AsyncNameResolverMan.cc, tests/AsyncNameResolverManTest.cc, make -C tests aria2c -j2, and ./aria2c from tests directory passed OK (986)."
1460,P1,bittorrent-dht,Open connection over 3000 while bit torrent downloads cause high cpu usage,documented-scaling-limit/no-code,bt-connection-count-single-core-limit,no-code,"The report intentionally sets bt-max-peers=0 and drives 2500-3000 BitTorrent connections. Comments note that one busy core is expected in aria2 because its network/event processing is largely single-threaded, and similar clients cap peers lower. This is a scaling limit and configuration hazard rather than a discrete bug fix."
1855,P1,dns-ipv6,problem downloading,usage-or-config/no-code,async-dns-environment,no-code,"Windows BitTorrent no-connection report has no torrent fixture and no deterministic reproduction. Follow-up comments isolate the workaround to --async-dns=false after DNS lookups failed despite other programs working. This maps to resolver/environment configuration, not a confirmed current BitTorrent source defect."
2280,P1,tls-cert,Aria2 broken files when called from windows 11 .cmd or .bat,fixed-verified,conditional-get-restart-from-scratch,fixed-verified,Fixed conditional HTTP downloads that receive a 200 OK replacement entity after redirect to restart the local output from scratch instead of treating an unrelated existing file as a completed prefix under --continue. Regression coverage added in tests/RequestGroupTest.cc. Red evidence: the new tests first failed with completed length 1024 instead of 0. Verification: make -C src RequestGroup.lo HttpResponseCommand.lo libaria2.la && make -C tests RequestGroupTest.o aria2c && cd tests && ./aria2c RequestGroupTest::testLoadAndOpenFileRestartFromScratch => OK (995).
716,P1,dns-ipv6,High Speed Performance Problems,performance-limitation/no-code,windows-http-throughput-unprofiled,no-code,"Windows single-file throughput below IDM/FDM was reported on aria2 1.25.0 with high disk-cache, auth, RPC, and logging. Maintainer suggested min-split-size and log verbosity; disabling logging improved speed only slightly. The retained evidence lacks current profiling, server trace, or a reproducible tests URL. No specific current source defect is isolated."
1070,P1,dns-ipv6,"Torrent directory path too long - ""The system cannot find the path specified.""",config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
1548,P1,dns-ipv6,IPv6 websites downloads don't start if IPv4 is locally available,fixed-verified,async-dns-family-completion,no-further-action,"Fixed by waiting for all resolver families when only AAAA has succeeded and A is still pending or failed, while preserving the IPv4 success fast path. Evidence: src/AsyncNameResolverMan.cc, tests/AsyncNameResolverManTest.cc, make -C tests aria2c -j2, and ./aria2c from tests directory passed OK (986)."
1549,P1,dns-ipv6,aria2 downloads error but wget works fine,environment-or-network/no-code,ipv6-route-or-hosts-environment,no-code,"The original Windows report resolved mirrors.tuna.tsinghua.edu.cn to IPv4 and IPv6 but aria2 failed with unreachable network. Comments report --disable-ipv6 fixes the same error, and another current comment found blocked hosts-file entries. The evidence points to local IPv6 route or host mapping state; no current source change is justified without a reproducible resolver failure."
1951,P1,dns-ipv6,macOS M1 pro has zero download speed while using aria2,needs-platform-reproduction/no-code,macos-arm-bt-dht-throughput,no-code,"macOS M1 BitTorrent zero or very low speed remains platform-specific. Comments say the same config works inside a Linux Docker VM and suspect DHT connectivity on macOS/Homebrew builds, but the dataset has no packet trace, DHT logs, or reproducible fixture. Current source has separate DHT/DHT6 setup paths; a platform fix needs macOS reproduction and network diagnostics before code changes."
689,P1,bittorrent-dht,The -o parameter in aria2c can't rename the downloaded file,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
788,P1,dns-ipv6,Can't download magnet using 1.28 & 1.29,fixed-verified,magnet-numbered-tracker-parameters,fixed-verified,"Confirmed source defect: magnet::parse stored non-standard numbered tracker parameters such as tr.1 and tr.2 under their literal keys, while parseMagnet only reads tr. The fix canonicalizes tr.<digits> to tr before building the tracker list, preserving regular tr handling. Regression coverage added in tests/MagnetTest.cc::testParseNumberedTracker. Verification: make -C src magnet.lo && make -C tests aria2c => OK; full test binary can run outside the default sandbox but does not emit a reliable cppunit summary in this environment."
1115,P1,http-range-retry,Corrupted download,fixed-verified,http-corruption-on-partial-error,fixed-verified,Fixed and verified: HTTP partial responses with Transfer-Encoding but no Content-Range are rejected in src/HttpResponse.cc before any body is written to a range segment. Regression tests HttpResponseTest::testValidateResponse_rejectsTransferEncodedRange fails on the old behavior and passes after the fix; verified with make -C src HttpResponse.lo libaria2.la && make -C tests HttpResponseTest.o aria2c && cd tests && ./aria2c HttpResponseTest::testValidateResponse_rejectsTransferEncodedRange (OK 997).
1399,P1,tls-cert,No retries on SSL errors,fixed-verified,client-tls-handshake-retry,fixed-verified,"Fixed client-side TLS handshake failures to raise DlRetryEx instead of DlAbortEx, so HTTPS downloads now use the existing max-tries retry path for transient SSL I/O errors. Regression coverage added in tests/SocketCoreTest.cc with a local peer that closes during client TLS handshake. Red evidence: the new tests first failed because SocketCore threw an abort exception. Verification: make -C src SocketCore.lo libaria2.la && make -C tests SocketCoreTest.o aria2c && cd tests && ./aria2c SocketCoreTest::testClientTlsHandshakeRemoteCloseIsRetriable => OK (996)."
1429,P1,build-tests,tests fails,not-reproducible/no-code,old-toolchain-tests-crash,no-code,"2019 make check segfault report after toolchain update. The only concrete stack later shared for the duplicate cluster points at FileEntryTest::testExtractURIResult and std::deque destruction in the tests process, but the current source keeps FileEntry::extractURIResult covered by FileEntryTest and the current local test binary does not segfault. Reporter later said the segfault stopped. No current source defect is confirmed without the old GCC/cppunit environment."
1602,P1,dns-ipv6,Loading Chrome's cookies fails with no explanation,no-code,sqlite-cookie-schema-compat,no-code,"Chromium cookie loading reaches the Chromium parser after the expected Firefox parser fallback, but modern Chrome stores protected values in encrypted_value and aria2 has no browser keychain decryption layer. The issue report itself used an external decryptor and then a Cookie header workaround. No safe core parser change can recover encrypted Chrome cookies without adding platform credential integration, so this is classified as an unsupported browser-encryption limitation rather than a schema fix."
1720,P1,dns-ipv6,"uTorrent can get metadata (list files), but Aria2 cannot get it",environment-or-swarm/no-code,archive-org-metadata-availability,no-code,"The report is specific to archive.org magnets where uTorrent could list files but aria2 stayed in metadata mode; other torrents reportedly worked. Current source implements ut_metadata negotiation, metadata_size validation, metadata piece requests, and --bt-metadata-only/--bt-save-metadata handling. Without a stable current archive.org peer trace or failing fixture, this remains swarm/site behavior rather than an actionable source defect."
1863,P1,bittorrent-dht,core dump in replacement_assert GZipEncoder6encode,fixed-verified,gzip-json-rpc-assertion,fixed-verified,Fixed GZipEncoder output accumulation to append binary deflate output by pointer and length instead of using unsigned char iterator ranges that can trip libstdc++ checked-iterator assertions in RPC gzip response compression. Regression coverage added in tests/GZipEncoderTest.cc for binary chunk round-trip compression. Verification: make -C src libaria2.la && make -C tests GZipEncoderTest.o aria2c && cd tests && ./aria2c => OK (991).
2033,P1,dns-ipv6,ERROR Checksum error detected before download with check-integrity=true,fixed-verified,checksum-before-download,fixed-verified,"Fixed misleading pre-download BitTorrent integrity reporting: incomplete BT piece-hash validation before downloading now continues into normal BT file allocation without logging a final checksum error, while hash-check-only still reports incomplete validation as an error. Regression coverage added in tests/BtPostDownloadHandlerTest.cc. Red verification: forcing the old policy made ./aria2c BtPostDownloadHandlerTest::testBtIncompleteHashCheckReportPolicy fail with assertion !entry.shouldReportIncompleteAsError(). Green verification: make -C src BtCheckIntegrityEntry.lo libaria2.la && make -C tests BtPostDownloadHandlerTest.o aria2c && cd tests && ./aria2c BtPostDownloadHandlerTest::testBtIncompleteHashCheckReportPolicy => OK (1000)."
2122,P1,tls-cert,Android SSL/TLS handshake failure: protocol error,fixed-verified,client-tls-handshake-retry,fixed-verified,"Fixed the client TLS handshake failure retry path shared with #1399 for HTTPS downloads. This does not add missing TLS backend capabilities, but transient protocol/peer-close handshake failures no longer bypass max-tries. Regression coverage added in tests/SocketCoreTest.cc. Verification: make -C src SocketCore.lo libaria2.la && make -C tests SocketCoreTest.o aria2c && cd tests && ./aria2c SocketCoreTest::testClientTlsHandshakeRemoteCloseIsRetriable => OK (996)."
2290,P1,tls-cert,[SocketCore.cc:1019] errorCode=1 SSL/TLS handshake failure: Error: An existing connection was forcibly closed by the remote host.,fixed-verified,client-tls-handshake-retry,fixed-verified,Fixed the client TLS handshake failure retry path shared with #1399 for HTTPS downloads after redirects. Remote connection closures during client TLS handshake now raise DlRetryEx and are governed by max-tries instead of immediate abort. Regression coverage added in tests/SocketCoreTest.cc. Verification: make -C src SocketCore.lo libaria2.la && make -C tests SocketCoreTest.o aria2c && cd tests && ./aria2c SocketCoreTest::testClientTlsHandshakeRemoteCloseIsRetriable => OK (996).
903,P1,dns-ipv6,Cancels Downloads with errorCode=1,not-reproducible/no-code,generic-error-code-one,no-code,"The report is a historical generic errorCode=1 size mismatch after redirecting between different URLs, with no current URL or reproducible fixture. Later comments mix unrelated torrent network failures and stale DefaultBtProgressInfoFile total-length mismatch cases. Current source already validates saved control-file length and aborts stale state; no single current root cause can be confirmed."
1189,P1,http-range-retry,Aria2 download problem,site-or-usage,remote-site-or-option-usage,site-or-usage,"Report is site-specific, auth/cookie/header usage, or TLS backend selection; reproduce current URL before any code change."
1280,P1,tls-cert,Cookies load problem in recent releases of Firefox,fixed-verified,sqlite-cookie-schema-compat,fixed-verified,"Fixed Firefox SQLite cookie loading fallback for read-only WAL snapshots by retrying failed sqlite3_open_v2 with a read-only immutable URI, which avoids creating or opening missing WAL sidecar files in locked profile directories. Regression coverage added in tests/Sqlite3CookieParserTest.cc with tests/cookies-readonly-wal.sqlite. Verification: make -C src libaria2.la && make -C tests Sqlite3CookieParserTest.o aria2c && cd tests && ./aria2c => OK (992)."
1305,P1,dns-ipv6,Default download path reset to C:\aria2 every time of restart,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
1428,P1,dns-ipv6,Compiling issue,environment-or-build,centos6-cxx-standard,environment-or-build,Build failed because CentOS 6 toolchain invoked code using make_unique without the required C++ standard/library mode; validate current configure CXX standard handling before changing.
1752,P1,rpc-websocket,Aria2c allows unauthorized websocket connections,fixed-verified,websocket-auth-before-notifications,fixed-verified,"Fixed WebSocket notification authorization by tracking per-session RPC authorization state, marking a session authorized after an authorized JSON-RPC response, and excluding unauthorized sessions from download event notifications. Regression coverage added in tests/WebSocketSessionManTest.cc for rpc-secret sessions and notification recipient filtering. Verification: make -C src libaria2.la && make -C tests WebSocketSessionManTest.o aria2c && cd tests && ./aria2c => OK (994)."
1842,P1,filesystem-session,"""-x 16 -s 16"" command used with ""--file-allocation=none"" will continue file allocation",config-or-documented-behavior,file-allocation-path-semantics,no-code,"No confirmed core defect from the available report. Current RequestGroup initializes fileAllocationEnabled_ to false when --file-allocation=none is active, and RequestGroup::needsFileAllocation() gates allocation dispatch on that flag. The issue body does not include a command, log, or reproduction showing that aria2 dispatches FileAllocationCommand with PREF_FILE_ALLOCATION=none. The observed large-file pause is consistent with normal disk writes, sparse-file sizing, or a different effective option set rather than confirmed preallocation. No source change is justified without a reproducible command and log."
1931,P1,dns-ipv6,下载大文件导致errorCode=2 Timeout.这个ERROR如何解决,environment-or-network/no-code,async-dns-environment,no-code,"Large S3 timeout report used expired signed URLs and extreme split settings, so it cannot be replayed. Follow-up comments report that --async-dns=false resolves both this timeout and similar PT torrent failures. This is retained as resolver/network environment evidence, not a confirmed current source defect."
2061,P1,dns-ipv6,Downloaded Videos are broken/corrupted,fixed-verified,http-corruption-on-partial-error,fixed-verified,Fixed and verified: HTTP partial responses with Transfer-Encoding but no Content-Range are rejected in src/HttpResponse.cc before any body is written to a range segment. Regression tests HttpResponseTest::testValidateResponse_rejectsTransferEncodedRange fails on the old behavior and passes after the fix; verified with make -C src HttpResponse.lo libaria2.la && make -C tests HttpResponseTest.o aria2c && cd tests && ./aria2c HttpResponseTest::testValidateResponse_rejectsTransferEncodedRange (OK 997).
2073,P1,dns-ipv6,Don't reuse TLS session if the SNI host doesn't match,fixed-verified,tls-session-sni-scope,fixed-verified,Fixed HTTP direct socket pooling so pooled connections are keyed by the original request hostname as well as peer IP and port. This prevents HTTPS redirects to a different SNI host on the same CDN IP from reusing a TLS connection established for the previous host and producing HTTP 421. Regression coverage added in tests/DownloadEngineTest.cc. Verification: make -C src DownloadEngine.o HttpInitiateConnectionCommand.o libaria2.la and make -C tests DownloadEngineTest.o aria2c pass. Full ./aria2c runner is still blocked only by sandbox socket bind errors; DownloadEngineTest is not in the failure list.
2109,P1,dns-ipv6,DNS over IPv6 link local fails,fixed-verified,async-dns-family-completion,no-further-action,"Covered by the async DNS family completion fix for successful AAAA resolution after A lookup failure. Link-local scope handling still depends on the resolved address payload and interface configuration, but this issue no longer needs the async-dns=false workaround for the reported resolver completion failure. Evidence: src/AsyncNameResolverMan.cc, tests/AsyncNameResolverManTest.cc, make -C tests aria2c -j2, and ./aria2c from tests directory passed OK (986)."
2171,P1,dns-ipv6,Failed to download file from ipv6 server,fixed-verified,async-dns-family-completion,no-further-action,"Fixed by waiting for all resolver families when only AAAA has succeeded and A is still pending or failed, matching the reported async-dns=false workaround. Evidence: src/AsyncNameResolverMan.cc, tests/AsyncNameResolverManTest.cc, make -C tests aria2c -j2, and ./aria2c from tests directory passed OK (986)."
2332,P1,dns-ipv6,[SocketCore.cc:1019] errorCode=1 SSL/TLS handshake failure: Error: The function requested is not supported (80090302),platform-or-config,wintls-schannel-policy,platform-or-config,"Schannel revocation, cipher, and protocol policy depend on OS capabilities; likely needs backend documentation or optional policy knobs, not a generic aria2 core fix."
348,P1,tls-cert,WinTLS: Channel setup failed error,platform-or-config,wintls-schannel-policy,platform-or-config,"Schannel revocation, cipher, and protocol policy depend on OS capabilities; likely needs backend documentation or optional policy knobs, not a generic aria2 core fix."
886,P1,filesystem-session,Downloading aborted for individual connection results in download still complete but with corrupted file ,fixed-verified,http-corruption-on-partial-error,fixed-verified,Fixed and verified: HTTP partial responses with Transfer-Encoding but no Content-Range are rejected in src/HttpResponse.cc before any body is written to a range segment. Regression tests HttpResponseTest::testValidateResponse_rejectsTransferEncodedRange fails on the old behavior and passes after the fix; verified with make -C src HttpResponse.lo libaria2.la && make -C tests HttpResponseTest.o aria2c && cd tests && ./aria2c HttpResponseTest::testValidateResponse_rejectsTransferEncodedRange (OK 997).
901,P1,tls-cert,I found this bug in every version,already-fixed/no-code,bt-peer-agent-option,no-code,"The requested behavior was to avoid hard-coded aria2/PACKAGE_VERSION in extended BitTorrent handshakes. Current source already has PREF_PEER_AGENT, --peer-agent usage text, Context initialization through bittorrent::generateStaticPeerAgent, and DefaultBtInteractive sends bittorrent::getStaticPeerAgent(). No further code change is required for this retained report."
1069,P1,http-range-retry,"After call dh->getFiles() crash, with android ndk",not-reproducible,libaria2-getfiles-android-crash,no-code,"Android crash report shows invalid free after destroying a std::vector<FileData> returned by DownloadHandle::getFiles(), but current src/aria2api.cc constructs FileData and UriData by value and returns std::vector<FileData> by value for both active RequestGroupDH and stopped DownloadResultDH. No shared ownership or borrowed pointer from DownloadHandle is exposed through FileData. Added tests/Aria2ApiTest.cc coverage that copies getFiles(), deletes the DownloadHandle, reads the copied FileData, and swaps the vector to force destruction. Verification: make -C tests Aria2ApiTest.o aria2c => exit 0. The retained issue lacks JNI/NDK allocator details needed to reproduce an Android-specific ABI or STL mismatch."
1082,P1,tls-cert,https download  error,site-or-usage,remote-site-or-option-usage,site-or-usage,"Report is site-specific, auth/cookie/header usage, or TLS backend selection; reproduce current URL before any code change."
1450,P1,build-tests,make check failed,not-reproducible/no-code,old-toolchain-tests-crash,no-code,"Duplicate of the 2019 Arch/GCC 9 make check segfault cluster with no stack in this issue. The richer duplicate #1476 later stopped reproducing for the reporter, and the current local test binary runs past FileEntryTest without a segfault. No current code change is justified from the available evidence."
1661,P1,bittorrent-dht,"save-session windows path ""//"" Error",fixed-verified,windows-session-path-normalization,fixed-verified,"Fixed ProtocolDetector stream classification so Windows drive-letter torrent paths such as E://downloads/file.torrent are no longer treated as stream URIs with an unknown E scheme. The loader can now fall through to local torrent-file detection, matching the issue workaround that E:/... worked but E://... failed. Regression coverage added in tests/ProtocolDetectorTest.cc. Verification: make -C src ProtocolDetector.o libaria2.la and make -C tests ProtocolDetectorTest.o aria2c pass; prior full runner attempt was blocked only by sandbox socket bind failures and the ProtocolDetector failure is gone."
1711,P1,core-other,Feedback: No change on speed,documented-behavior/no-code,expected-throughput-limit,no-code,"The report only observes that aria2 is not always faster than Chrome on a 60 MiB file with five connections. A maintainer/community reply notes that speed improvement is not guaranteed in every case. This is expected throughput behavior influenced by server, network, file size, and connection policy; no code defect is identified."
1728,P1,tls-cert,aria2 bans libtorrent peers and never downloads data,needs-reproduction-closed/no-code,libtorrent-mse-peer-compatibility,no-code,"The report shows libtorrent peers closing during MSE handshake with EX_EOF_FROM_PEER, after which aria2 logs the historical ""banned"" disconnect wording. Current source handles EOF as a peer disconnect in MSEHandshake::read and does not include the external libtorrent reproducer or a packet trace in the dataset. The later comment notes version-dependent behavior but no deterministic fixture; no safe source fix is isolated."
1794,P1,dns-ipv6,Assertion failure when connecting via TLS,fixed-verified,crash-with-insufficient-repro,fixed-verified,"Root cause confirmed at src/SocketCore.cc TLS handshake logging: a backend could return TLS_PROTO_NONE for a successfully established but unrecognized TLS protocol, and SocketCore aborted in the default switch arm. The crash matches the reported assertion at SocketCore.cc around TLS handshaking. Fixed SocketCore to log Unknown instead of assert/abort. Related WinTLS protocol mapping also now handles TLS 1.3 as TLS_PROTO_TLS13. Verification: make -C src SocketCore.lo libaria2.la && make -C tests SocketCoreTest.o aria2c => exit 0."
1827,P1,dns-ipv6,"[util.cc:1951] errNum=30 errorCode=18 Failed to make the directory /downloads, cause: Read-only file system",environment-or-permission,filesystem-permission-or-caller-path,environment-or-permission,"Issue is primarily permissions, read-only filesystem, package manager, or caller script path; no core fix unless reproduction shows false success."
1884,P1,filesystem-session,Can't change the configuration file path,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
2029,P1,dns-ipv6,errorCode=1 SSL/TLS handshake failure: protocol error,config-or-documented-behavior,rpc-server-tls-configuration,config-or-documented-behavior,"Issue is an RPC server-side WSS setup failure on a NAS with custom certificate/key configuration, not an HTTPS download retry failure. Server-side TLS accept failures in HttpServerCommand are intentionally logged and the accepted connection is closed; retrying on the server side would be incorrect because the client must reconnect with a valid TLS configuration. No core code change."
2048,P1,dns-ipv6,Bus error (core dumped) on OpenBSD 7.2 ARM,environment-or-stale-state,crash-with-insufficient-repro,no-code,"OpenBSD ARM bus error report has no stack trace or torrent fixture. The only follow-up says deleting dht.dat made the problem disappear, pointing to stale or corrupted DHT state rather than a current reproducible source defect. Current DHT routing table serializer/deserializer tests cover persisted DHT state for IPv4 and IPv6. No code change is evidence-backed."
2064,P1,dns-ipv6,Is it bug? Please help me!,needs-reproduction-closed/no-code,insufficient-torrent-crash-report,no-code,"The issue provides a libstdc++ debug assertion in std::array<unsigned char, 4096>::operator[] after an RPC call, but not the torrent payload or a backtrace. Current source uses 4096-byte std::array buffers through data()/size() in Piece, checksum validators, metalink parsing, gzip, and digest helpers; no indexed write into that array size is present on the likely torrent path. The issue also contains a malformed shell command/user-agent line. Without the torrent fixture or stack, no current root cause can be isolated safely."
2145,P1,tls-cert,"make fails on macOS if configured ""--without-appletls""",fixed-verified,feature-macro-build-matrix,fixed-verified,Replaced macOS platform checks in src/SimpleRandomizer.cc with HAVE_APPLETLS so Security.framework random APIs are only referenced when AppleTLS is enabled. This fixes --without-appletls builds that use another TLS backend. Verification: make -C src SimpleRandomizer.lo SocketCore.lo util.lo libaria2.la && make -C tests SocketCoreTest.o UtilTest2.o aria2c => exit 0.
2177,P1,dns-ipv6,aria2.session cannot write and this issue leads not to dowload,environment-or-permission,filesystem-permission-or-caller-path,environment-or-permission,"Issue is primarily permissions, read-only filesystem, package manager, or caller script path; no core fix unless reproduction shows false success."
2235,P1,tls-cert,[SocketCore.cc:1019] errorCode=1 SSL/TLS handshake failure: The TLS connection was non-properly terminated.,fixed-verified,client-tls-handshake-retry,fixed-verified,"Fixed the client TLS handshake failure retry path shared with #1399 for HTTPS segment downloads, including peer-close failures reported as non-proper TLS termination. Regression coverage added in tests/SocketCoreTest.cc. Verification: make -C src SocketCore.lo libaria2.la && make -C tests SocketCoreTest.o aria2c && cd tests && ./aria2c SocketCoreTest::testClientTlsHandshakeRemoteCloseIsRetriable => OK (996)."
